\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
278362.330603675,0.30888860056948075,1.0,3.0,0.41019626811815074,0.12815755760388509,0.2691783806092111,11.438066602890613,0.12815755760388509,0.2691783806092111,11.438066602890613
681321.4145561268,0.6475020586689898,1.0,2.5,0.35664285510093413,0.13335637659543778,0.49926023696521027,12.515498716301202,0.13335637659543778,0.49926023696521027,12.515498716301202
1022217.4486440156,0.3253367328656797,1.0,3.0,0.167071944566995,0.054195195576055503,0.28166656516242494,12.738872506202204,0.054195195576055503,0.28166656516242494,12.738872506202204
676943.7390243238,0.569372057808866,1.0,3.5,0.309532355868816,0.08474347186813837,0.45067557617454435,12.172580476589527,0.08474347186813837,0.45067557617454435,12.172580476589527
1489499.1609560708,0.2644363700632907,1.0,2.0,0.13439641643010838,0.06503671721890553,0.23462646562713174,13.520803307270953,0.06503671721890553,0.23462646562713174,13.520803307270953
57031.17545166555,0.13088839654099402,1.0,4.5,0.06572569767964422,0.014500074555149721,0.12300351546669405,9.4472759383519,0.014500074555149721,0.12300351546669405,9.4472759383519
159916.42795265836,0.2712923294597899,1.0,4.0,0.3649337844194298,0.08730865839325354,0.24003396533644208,10.596112271365824,0.08730865839325354,0.24003396533644208,10.596112271365824
518320.9568023141,0.2454958843003993,1.0,11.0,0.3253732422505547,0.0291503554007623,0.21953375125891716,10.760454664313334,0.0291503554007623,0.21953375125891716,10.760454664313334
146265.35218326183,0.24367559378389939,1.0,8.0,0.3221567003931599,0.03947989835914856,0.21807118360778582,9.81373619015301,0.03947989835914856,0.21807118360778582,9.81373619015301
124026.48856787744,0.2658503337315622,1.0,6.0,0.3614630257828516,0.05849891717031525,0.23574409693217926,9.936490970077413,0.05849891717031525,0.23574409693217926,9.936490970077413
289229.08424319985,0.4342814029467489,1.0,8.0,0.7627153804878432,0.09106429017769219,0.36066395929013073,10.4955327904805,0.09106429017769219,0.36066395929013073,10.4955327904805
429422.21214067284,0.7104327585345149,1.0,6.0,0.4064956938327457,0.06555295858323786,0.5367464136628335,11.178436422195022,0.06555295858323786,0.5367464136628335,11.178436422195022
82228.7019060808,0.05492585250118008,1.0,10.0,0.058118035126028,0.005794980133877655,0.0534704824687323,9.01467459883244,0.005794980133877655,0.0534704824687323,9.01467459883244
9506.001458404033,0.1551578350821866,1.0,9.0,0.18365296289729036,0.020200474386064742,0.14423698838829452,6.9624540342038115,0.020200474386064742,0.14423698838829452,6.9624540342038115
845332.5131720982,0.4223093379101546,1.0,2.0,0.21933498642753124,0.10406041478520878,0.3522818449315278,12.954338155090813,0.10406041478520878,0.3522818449315278,12.954338155090813
177839.44731393157,0.4751391418829387,1.0,11.0,0.9036779914266888,0.07895215447510841,0.3887523188226187,9.690741168125317,0.07895215447510841,0.3887523188226187,9.690741168125317
53583.602834157,1.7720793766933036,1.0,5.0,2.3506367390720806,0.3853490282046516,1.0195977160884226,9.27956047064268,0.3853490282046516,1.0195977160884226,9.27956047064268
105554.52208927635,0.8689067337855543,1.0,8.0,3.0875578218176893,0.3263820209878275,0.6253536255619261,9.487541353855358,0.3263820209878275,0.6253536255619261,9.487541353855358
