_idx,dm,_sym,_alias,_fwk,name,description,relevant,_cat,_dims,_units,_min,_max,_mean,_std_units,_std_min,_std_max,_std_mean,_dist_type,_depends,_dist_params
37,4,\chi_{4},chi_tas_4,CUSTOM,TAS 4 departure rate,Departure rate for TAS 4,TRUE,CTRL,E*T^-1,req/s,0.1,194.0625,97.08125,req/s,0.1,194.0625,97.08125,adjusted_rate,"['\mu_{4}' , 'err_{4}']",{}
38,4,c_{4},c_tas_4,CUSTOM,TAS 4 resourses,Number of resources allocated in TAS 4,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
39,4,K_{4},K_tas_4,CUSTOM,TAS 4 q-capacity,Allocated request capacity in TAS 4 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{4}'],"{'low': 1, 'high': 11}"
40,4,\delta_{4},delta_tas_4,CUSTOM,TAS 4 req data density,Data density for request in TAS 4 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
41,4,L_{4},L_tas_4,CUSTOM,TAS 4 mean processing requests,Average number of request in TAS 4 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{4}' , '\mu_{4}' , 'c_{4}' , 'K_{4}']",{}
42,4,Lq_{4},Lq_tas_4,CUSTOM,TAS 4 mean in memory requests,Average number of request in TAS 4 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{4}' , '\mu_{4}' , 'c_{4}' , 'K_{4}']",{}
43,4,W_{4},W_tas_4,CUSTOM,TAS 4 mean time to answer,Average time to complete a request in TAS 4,TRUE,OUT,T,s,0,0.012052731,0.012052731,s,0,0.012052731,0.012052731,queue_time,"['\chi_{4}' , 'L_{4}']",{}
44,4,Wq_{4},Wq_tas_4,CUSTOM,TAS 4 mean time in buffer,Average time for a request to transit the buffer in TAS 4,FALSE,CTRL,T,s,0,0.006497175,0.006497175,s,0,0.006497175,0.006497175,queue_time,"['\chi_{4}' , 'Lq_{4}']",{}
45,5,\lambda_{5},lambda_tas_5,CUSTOM,TAS 5 arrival rate,Arrival rate for TAS 5,TRUE,IN,E*T^-1,req/s,0.1,183.6290323,91.86451613,req/s,0.1,183.6290323,91.86451613,uniform,[],"{'low': 0.1, 'high': 183.629032258065}"
46,5,\mu_{5},mu_tas_5,CUSTOM,TAS 5 service rate,Service rate for TAS 5,TRUE,CTRL,E*T^-1,req/s,0.1,1060,530.05,req/s,0.1,1060,530.05,uniform,[],"{'low': 0.1, 'high': 1060}"
47,5,err_{5},err_tas_5,CUSTOM,TAS 5 error probability,Service error probability for TAS 5,FALSE,CTRL,E*T^-1,n.a.,7.00%,7.00%,7.00%,n.a.,0.07,0.07,0.07,constant,[],{'constant': 0.07}
48,5,\chi_{5},chi_tas_5,CUSTOM,TAS 5 departure rate,Departure rate for TAS 5,TRUE,CTRL,E*T^-1,req/s,0.1,183.6290323,91.86451613,req/s,0.1,183.6290323,91.86451613,adjusted_rate,"['\mu_{5}' , 'err_{5}']",{}
49,5,c_{5},c_tas_5,CUSTOM,TAS 5 resourses,Number of resources allocated in TAS 5,TRUE,IN,E,req,1,2,1.5,req,1,2,1.5,uniform_int,[],"{'low': 1, 'high': 2}"
50,5,K_{5},K_tas_5,CUSTOM,TAS 5 q-capacity,Allocated request capacity in TAS 5 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{5}'],"{'low': 1, 'high': 11}"
51,5,\delta_{5},delta_tas_5,CUSTOM,TAS 5 req data density,Data density for request in TAS 5 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
52,5,L_{5},L_tas_5,CUSTOM,TAS 5 mean processing requests,Average number of request in TAS 5 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{5}' , '\mu_{5}' , 'c_{5}' , 'K_{5}']",{}
53,5,Lq_{5},Lq_tas_5,CUSTOM,TAS 5 mean in memory requests,Average number of request in TAS 5 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{5}' , '\mu_{5}' , 'c_{5}' , 'K_{5}']",{}
54,5,W_{5},W_tas_5,CUSTOM,TAS 5 mean time to answer,Average time to complete a request in TAS 5,TRUE,OUT,T,s,0,0.002282139,0.002282139,s,0,0.002282139,0.002282139,queue_time,"['\chi_{5}' , 'L_{5}']",{}
55,5,Wq_{5},Wq_tas_5,CUSTOM,TAS 5 mean time in buffer,Average time for a request to transit the buffer in TAS 5,FALSE,CTRL,T,s,0,0.000395346,0.000395346,s,0,0.000395346,0.000395346,queue_time,"['\chi_{5}' , 'Lq_{5}']",{}
56,6,\lambda_{6},lambda_tas_6,CUSTOM,TAS 6 arrival rate,Arrival rate for TAS 6,TRUE,IN,E*T^-1,req/s,0.1,208.2621951,104.1310976,req/s,0.1,208.2621951,104.1310976,uniform,[],"{'low': 0.1, 'high': 208.26219512195}"
57,6,\mu_{6},mu_tas_6,CUSTOM,TAS 6 service rate,Service rate for TAS 6,TRUE,CTRL,E*T^-1,req/s,0.1,300,150.05,req/s,0.1,300,150.05,uniform,[],"{'low': 0.1, 'high': 300}"
58,6,err_{6},err_tas_6,CUSTOM,TAS 6 error probability,Service error probability for TAS 6,FALSE,CTRL,E*T^-1,n.a.,18.00%,18.00%,18.00%,n.a.,0.18,0.18,0.18,constant,[],{'constant': 0.18}
59,6,\chi_{6},chi_tas_6,CUSTOM,TAS 6 departure rate,Departure rate for TAS 6,TRUE,CTRL,E*T^-1,req/s,0.1,208.2621951,104.1810976,req/s,0.1,208.2621951,104.1810976,adjusted_rate,"['\mu_{6}' , 'err_{6}']",{}
60,6,c_{6},c_tas_6,CUSTOM,TAS 6 resourses,Number of resources allocated in TAS 6,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
